,year_population,state_id,population
0,1990,AL,4050055
1,1991,AL,4099156
2,1992,AL,4154014
3,1993,AL,4214202
4,1994,AL,4260229
5,1995,AL,4296800
6,1996,AL,4331102
7,1997,AL,4367935
8,1998,AL,4404701
9,1999,AL,4430141
10,1990,AK,553290
11,1991,AK,570193
12,1992,AK,588736
13,1993,AK,599432
14,1994,AK,603308
15,1995,AK,604412
16,1996,AK,608569
17,1997,AK,612968
18,1998,AK,619932
19,1999,AK,624779
20,1990,AZ,3684097
21,1991,AZ,3788576
22,1992,AZ,3915740
23,1993,AZ,4065440
24,1994,AZ,4245089
25,1995,AZ,4432499
26,1996,AZ,4586940
27,1997,AZ,4736990
28,1998,AZ,4883342
29,1999,AZ,5023823
30,1990,AR,2356586
31,1991,AR,2383144
32,1992,AR,2415984
33,1993,AR,2456303
34,1994,AR,2494019
35,1995,AR,2535399
36,1996,AR,2572109
37,1997,AR,2601090
38,1998,AR,2626289
39,1999,AR,2651860
40,1990,CA,29959515
41,1991,CA,30470736
42,1992,CA,30974659
43,1993,CA,31274928
44,1994,CA,31484435
45,1995,CA,31696582
46,1996,CA,32018834
47,1997,CA,32486010
48,1998,CA,32987675
49,1999,CA,33499204
50,1990,CO,3307618
51,1991,CO,3387119
52,1992,CO,3495939
53,1993,CO,3613734
54,1994,CO,3724168
55,1995,CO,3826653
56,1996,CO,3919972
57,1997,CO,4018293
58,1998,CO,4116639
59,1999,CO,4226018
60,1990,CT,3307618
61,1991,CT,3387119
62,1992,CT,3495939
63,1993,CT,3613734
64,1994,CT,3724168
65,1995,CT,3826653
66,1996,CT,3919972
67,1997,CT,4018293
68,1998,CT,4116639
69,1999,CT,4226018
70,1990,DE,669567
71,1991,DE,683080
72,1992,DE,694925
73,1993,DE,706378
74,1994,DE,717545
75,1995,DE,729734
76,1996,DE,740977
77,1997,DE,751487
78,1998,DE,763335
79,1999,DE,774990
80,1990,D.C,605321
81,1991,D.C,600870
82,1992,D.C,597565
83,1993,D.C,595301
84,1994,D.C,589239
85,1995,D.C,580517
86,1996,D.C,572377
87,1997,D.C,567736
88,1998,D.C,565230
89,1999,D.C,570213
90,1990,FL,13033307
91,1991,FL,13369798
92,1992,FL,13650553
93,1993,FL,13927185
94,1994,FL,14239444
95,1995,FL,14537875
96,1996,FL,14853360
97,1997,FL,15186304
98,1998,FL,15486559
99,1999,FL,15759421
100,1990,GA,6512602
101,1991,GA,6653005
102,1992,GA,6817203
103,1993,GA,6978240
104,1994,GA,7157165
105,1995,GA,7328413
106,1996,GA,7501069
107,1997,GA,7685099
108,1998,GA,7863536
109,1999,GA,8045965
110,1990,HI,1113491
111,1991,HI,1136754
112,1992,HI,1158613
113,1993,HI,1172838
114,1994,HI,1187536
115,1995,HI,1196854
116,1996,HI,1203755
117,1997,HI,1211640
118,1998,HI,1215233
119,1999,HI,1210300
120,1990,ID,1012384
121,1991,ID,1041316
122,1992,ID,1071685
123,1993,ID,1108768
124,1994,ID,1145140
125,1995,ID,1177322
126,1996,ID,1203083
127,1997,ID,1228520
128,1998,ID,1252330
129,1999,ID,1275674
130,1990,IL,11453316
131,1991,IL,11568964
132,1992,IL,11694184
133,1993,IL,11809579
134,1994,IL,11912585
135,1995,IL,12008437
136,1996,IL,12101997
137,1997,IL,12185715
138,1998,IL,12271847
139,1999,IL,12359020
140,1990,IN,5557798
141,1991,IN,5616388
142,1992,IN,5674547
143,1993,IN,5739019
144,1994,IN,5793526
145,1995,IN,5851459
146,1996,IN,5906013
147,1997,IN,5955267
148,1998,IN,5998880
149,1999,IN,6044969
150,1990,IA,2781018
151,1991,IA,2797613
152,1992,IA,2818401
153,1993,IA,2836972
154,1994,IA,2850746
155,1995,IA,2867373
156,1996,IA,2880000
157,1997,IA,2891119
158,1998,IA,2902872
159,1999,IA,2917634
160,1990,KS,2481349
161,1991,KS,2498722
162,1992,KS,2532394
163,1993,KS,2556547
164,1994,KS,2580513
165,1995,KS,2601007
166,1996,KS,2614554
167,1997,KS,2635292
168,1998,KS,2660598
169,1999,KS,2678338
170,1990,KY,3694048
171,1991,KY,3722328
172,1992,KY,3765469
173,1993,KY,3812206
174,1994,KY,3849088
175,1995,KY,3887427
176,1996,KY,3919535
177,1997,KY,3952747
178,1998,KY,3985390
179,1999,KY,4018053
180,1990,LA,4221532
181,1991,LA,4253279
182,1992,LA,4293003
183,1993,LA,4316428
184,1994,LA,4347481
185,1995,LA,4378779
186,1996,LA,4398877
187,1997,LA,4421071
188,1998,LA,4440344
189,1999,LA,4460811
190,1990,ME,1231719
191,1991,ME,1237081
192,1992,ME,1238508
193,1993,ME,1242302
194,1994,ME,1242662
195,1995,ME,1243480
196,1996,ME,1249060
197,1997,ME,1254774
198,1998,ME,1259127
199,1999,ME,1266808
200,1990,MD,4799770
201,1991,MD,4867641
202,1992,MD,4923368
203,1993,MD,4971889
204,1994,MD,5023060
205,1995,MD,5070033
206,1996,MD,5111986
207,1997,MD,5157328
208,1998,MD,5204464
209,1999,MD,5254509
210,1990,MA,6022639
211,1991,MA,6018470
212,1992,MA,6028709
213,1993,MA,6060569
