,year_income,State_income,STATE_id,Median_Income
0,1990,Alaska,AK,42607
1,1990,Arizona,AL,71686
2,1990,Arizona,AZ,53309
3,1990,Arkansas,AR,41565
4,1990,California,CA,60726
5,1990,Colorado,CO,56062
6,1990,Connecticut,CT,70905
7,1990,Delaware,DE,56191
8,1990,DC,D.C,49967
9,1990,Florida,FL,48678
10,1990,Georgia,GA,50275
11,1990,Hawaii,HI,70998
12,1990,Idaho,ID,46160
13,1990,Illinois,IL,59362
14,1990,Indiana,IN,49121
15,1990,Iowa,IA,49778
16,1990,Kansas,KS,54573
17,1990,Lousiana,LA,40870
18,1990,Kentucky,KY,45203
19,1990,Maine,ME,50099
20,1990,Maryland,MD,70881
21,1990,Massachusetts,MA,66120
22,1990,Michigan,MI,54610
23,1990,Minnesota,MN,57397
24,1990,Mississippi,MS,36808
25,1990,Missouri,MO,49858
26,1990,Montana,MT,42640
27,1990,Nebraska,NE,50131
28,1990,Nevada,NV,58415
29,1990,New Hampshire,NH,74435
30,1990,New Jersey,NJ,70657
31,1990,New Mexico,NM,45675
32,1990,New York,NY,57627
33,1990,North Carolina,NC,48028
34,1990,Ohio,ND,46085
35,1990,Ohio,OH,54748
36,1990,Oklahoma,OK,44480
37,1990,Oregon,OR,53413
38,1990,Pennsylvania,PA,52910
39,1990,Rhode Island,RI,58315
40,1990,South Carolina,SC,52417
41,1990,South Dakota,SD,44821
42,1990,Tennesse,TN,41211
43,1990,Texas,TX,51492
44,1990,Utah,UT,54984
45,1990,Vermont,VT,56728
46,1990,Virginia,VA,63979
47,1990,Washington,WA,58577
48,1990,West Virginia,WV,40381
49,1990,Wisconsin,WI,56022
50,1990,Wyoming,WY,53740
51,1991,Alaska,AK,42852
52,1991,Arizona,AL,71482
53,1991,Arizona,AZ,54101
54,1991,Arkansas,AR,41248
55,1991,California,CA,59253
56,1991,Colorado,CO,55442
57,1991,Connecticut,CT,74196
58,1991,Delaware,DE,57353
59,1991,DC,D.C,52601
60,1991,Florida,FL,47967
61,1991,Georgia,GA,47896
62,1991,Hawaii,HI,65557
63,1991,Idaho,ID,45967
64,1991,Illinois,IL,56120
65,1991,Indiana,IN,47680
66,1991,Iowa,IA,50257
67,1991,Kansas,KS,51563
68,1991,Lousiana,LA,44529
