,YEAR,STATE_id,STATE,POPULATION
0,1990,AL,Alabama,4050055
1,1991,AL,Alabama,4099156
2,1992,AL,Alabama,4154014
3,1993,AL,Alabama,4214202
4,1994,AL,Alabama,4260229
5,1995,AL,Alabama,4296800
6,1996,AL,Alabama,4331102
7,1997,AL,Alabama,4367935
8,1998,AL,Alabama,4404701
9,1999,AL,Alabama,4430141
10,1990,AL,Alaska,553290
11,1991,AL,Alaska,570193
12,1992,AL,Alaska,588736
13,1993,AL,Alaska,599432
14,1994,AL,Alaska,603308
15,1995,AL,Alaska,604412
16,1996,AL,Alaska,608569
17,1997,AL,Alaska,612968
18,1998,AL,Alaska,619932
19,1999,AL,Alaska,624779
20,1990,AZ,Arizona,3684097
21,1991,AZ,Arizona,3788576
22,1992,AZ,Arizona,3915740
23,1993,AZ,Arizona,4065440
24,1994,AZ,Arizona,4245089
25,1995,AZ,Arizona,4432499
26,1996,AZ,Arizona,4586940
27,1997,AZ,Arizona,4736990
28,1998,AZ,Arizona,4883342
29,1999,AZ,Arizona,5023823
30,1990,AR,Arkansas,2356586
31,1991,AR,Arkansas,2383144
32,1992,AR,Arkansas,2415984
33,1993,AR,Arkansas,2456303
34,1994,AR,Arkansas,2494019
35,1995,AR,Arkansas,2535399
36,1996,AR,Arkansas,2572109
37,1997,AR,Arkansas,2601090
38,1998,AR,Arkansas,2626289
39,1999,AR,Arkansas,2651860
40,1990,CA,California,29959515
41,1991,CA,California,30470736
42,1992,CA,California,30974659
43,1993,CA,California,31274928
44,1994,CA,California,31484435
45,1995,CA,California,31696582
46,1996,CA,California,32018834
47,1997,CA,California,32486010
48,1998,CA,California,32987675
49,1999,CA,California,33499204
50,1990,CO,Colorado,3307618
51,1991,CO,Colorado,3387119
52,1992,CO,Colorado,3495939
53,1993,CO,Colorado,3613734
54,1994,CO,Colorado,3724168
55,1995,CO,Colorado,3826653
56,1996,CO,Colorado,3919972
57,1997,CO,Colorado,4018293
58,1998,CO,Colorado,4116639
59,1999,CO,Colorado,4226018
60,1990,CT,Connecticut,3307618
61,1991,CT,Connecticut,3387119
62,1992,CT,Connecticut,3495939
63,1993,CT,Connecticut,3613734
64,1994,CT,Connecticut,3724168
65,1995,CT,Connecticut,3826653
66,1996,CT,Connecticut,3919972
67,1997,CT,Connecticut,4018293
68,1998,CT,Connecticut,4116639
69,1999,CT,Connecticut,4226018
70,1990,DE,Delaware,669567
71,1991,DE,Delaware,683080
72,1992,DE,Delaware,694925
73,1993,DE,Delaware,706378
74,1994,DE,Delaware,717545
75,1995,DE,Delaware,729734
76,1996,DE,Delaware,740977
77,1997,DE,Delaware,751487
78,1998,DE,Delaware,763335
79,1999,DE,Delaware,774990
80,1990,D.C,DC,605321
81,1991,D.C,DC,600870
82,1992,D.C,DC,597565
83,1993,D.C,DC,595301
84,1994,D.C,DC,589239
85,1995,D.C,DC,580517
86,1996,D.C,DC,572377
87,1997,D.C,DC,567736
88,1998,D.C,DC,565230
89,1999,D.C,DC,570213
90,1990,FL,Florida,13033307
91,1991,FL,Florida,13369798
92,1992,FL,Florida,13650553
93,1993,FL,Florida,13927185
94,1994,FL,Florida,14239444
95,1995,FL,Florida,14537875
96,1996,FL,Florida,14853360
97,1997,FL,Florida,15186304
98,1998,FL,Florida,15486559
99,1999,FL,Florida,15759421
100,1990,GA,Georgia,6512602
101,1991,GA,Georgia,6653005
102,1992,GA,Georgia,6817203
103,1993,GA,Georgia,6978240
104,1994,GA,Georgia,7157165
105,1995,GA,Georgia,7328413
106,1996,GA,Georgia,7501069
107,1997,GA,Georgia,7685099
108,1998,GA,Georgia,7863536
109,1999,GA,Georgia,8045965
110,1990,HI,Hawaii,1113491
111,1991,HI,Hawaii,1136754
112,1992,HI,Hawaii,1158613
113,1993,HI,Hawaii,1172838
114,1994,HI,Hawaii,1187536
115,1995,HI,Hawaii,1196854
116,1996,HI,Hawaii,1203755
117,1997,HI,Hawaii,1211640
118,1998,HI,Hawaii,1215233
119,1999,HI,Hawaii,1210300
120,1990,ID,Idaho,1012384
121,1991,ID,Idaho,1041316
122,1992,ID,Idaho,1071685
123,1993,ID,Idaho,1108768
124,1994,ID,Idaho,1145140
125,1995,ID,Idaho,1177322
126,1996,ID,Idaho,1203083
127,1997,ID,Idaho,1228520
128,1998,ID,Idaho,1252330
129,1999,ID,Idaho,1275674
130,1990,IL,illinois,11453316
131,1991,IL,illinois,11568964
